matchup,game_number,llm_side,winner,draw,illegal_move,fallback_uses_this_game
LLM vs Random,1,X,X,False,False,0
LLM vs Random,2,X,X,False,False,0
LLM vs Random,3,X,X,False,False,0
LLM vs Random,1,O,O,False,False,0
LLM vs Random,2,O,O,False,False,0
LLM vs Random,3,O,X,False,False,0
LLM vs Heuristic,1,X,O,False,False,0
LLM vs Heuristic,2,X,O,False,False,0
LLM vs Heuristic,3,X,O,False,False,0
LLM vs Heuristic,1,O,X,False,False,0
LLM vs Heuristic,2,O,X,False,False,0
LLM vs Heuristic,3,O,X,False,False,0
LLM vs Random,1,X,X,False,False,0,4,3.8047,0.9512
LLM vs Random,2,X,X,False,False,0,13,8.7812,0.6755
LLM vs Random,3,X,O,False,False,0,14,11.3901,0.8136
LLM vs Random,1,O,O,False,False,0,11,7.1252,0.6477
LLM vs Random,2,O,O,False,False,0,7,4.4719,0.6388
LLM vs Random,3,O,X,False,False,0,9,5.9613,0.6624
LLM vs Heuristic,1,X,O,False,False,0,10,7.662,0.7662
LLM vs Heuristic,2,X,O,False,False,0,10,6.4034,0.6403
LLM vs Heuristic,3,X,O,False,False,0,10,6.8447,0.6845
LLM vs Heuristic,1,O,X,False,False,0,6,4.4672,0.7445
LLM vs Heuristic,2,O,X,False,False,0,6,4.1239,0.6873
LLM vs Heuristic,3,O,X,False,False,0,6,4.1253,0.6875
LLM vs Random,Random,1,X,X,True,False,False,False,0,5,4.2411,0.8482
LLM vs Random,Random,2,X,X,True,False,False,False,0,5,3.4305,0.6861
LLM vs Random,Random,3,X,X,True,False,False,False,0,5,3.3348,0.667
LLM vs Random,Random,1,O,O,True,False,False,False,0,4,2.5409,0.6352
LLM vs Random,Random,2,O,O,True,False,False,False,0,7,4.4419,0.6346
LLM vs Random,Random,3,O,X,False,True,False,False,0,15,11.4184,0.7612
LLM vs Heuristic,1,X,O,False,False,0,10,6.9873,0.6987
LLM vs Heuristic,2,X,O,False,False,0,10,7.0311,0.7031
LLM vs Heuristic,3,X,O,False,False,0,10,6.6275,0.6628
LLM vs Heuristic,1,O,X,False,False,0,6,4.2467,0.7078
LLM vs Heuristic,2,O,X,False,False,0,6,4.3353,0.7226
LLM vs Heuristic,3,O,X,False,False,0,6,3.7389,0.6232
LLM vs Random,Random,1,X,O,False,True,False,False,0,10,7.9473,0.7947
LLM vs Random,Random,2,X,X,True,False,False,False,0,4,2.7261,0.6815
LLM vs Random,Random,3,X,X,True,False,False,False,0,4,2.7675,0.6919
LLM vs Random,Random,1,O,O,True,False,False,False,0,5,3.1998,0.64
LLM vs Random,Random,2,O,X,False,True,False,False,0,9,6.3749,0.7083
LLM vs Random,Random,3,O,O,True,False,False,False,0,5,3.1438,0.6288
LLM vs Heuristic,Heuristic,1,X,O,False,True,False,False,0,10,6.8907,0.6891
LLM vs Heuristic,Heuristic,2,X,O,False,True,False,False,0,10,6.9468,0.6947
LLM vs Heuristic,Heuristic,3,X,O,False,True,False,False,0,10,6.892,0.6892
LLM vs Heuristic,Heuristic,1,O,X,False,True,False,False,0,6,3.9794,0.6632
LLM vs Heuristic,Heuristic,2,O,X,False,True,False,False,0,6,4.0795,0.6799
LLM vs Heuristic,Heuristic,3,O,X,False,True,False,False,0,6,3.955,0.6592
